id,d,institution
31661,35,Chonbuk Natl Univ
48998,47,Natl Inst Nat Sci
39459,92,Univ Auckland
173596,35,Univ Calif Santa Cruz
5522,168,Texas A&M Univ
272162,0,Univ Paris Est
6176,53,Univ Bari
33766,0,Univ Hosp Amiens
5528,168,Univ Mohamed Premier
263227,22,Galway Mayo Inst Technol
6183,46,Univ Delhi
239137,4,Univ Florida
187238,11,LIGO Hanford Observ
20152,164,Univ Roma Tre
6167,102,Joint Inst Nucl Res
5526,171,CEA
5528,79,Hiroshima Univ
24509,2,Observ Strasbourg
116938,33,UCL
170485,0,Northwestern Univ
178936,22,Sezione Ist Nazl Fis Nucl
6184,19,Tech Univ Split
83446,0,IFREMER
6174,60,Univ Florence
10352,9,Museo Arqueol Reg
37516,4,Ecole Normale Super
6174,99,Soltan Inst Nucl Studies
6168,133,Univ Calif Santa Barbara
78953,6,Tohoku Univ
20152,29,Univ Bonn
53126,19,Univ Glasgow
259654,16,Univ Grenoble 1
5522,158,Ohio State Univ
38841,73,Univ Minnesota
6180,135,Univ Colorado
8063,78,Petersburg Nucl Phys Inst
35106,24,Univ Glasgow
2081,159,Univ Notre Dame
2081,154,Univ Nebraska
5533,197,Univ Victoria
208393,4,Hop Henri Mondor
207959,0,Malad Sang
249350,3,Prostate Canc Ctr Hamburg Eppendorf
6168,120,Middle E Tech Univ
8063,105,Sun Yat Sen Univ
287100,4,Duke Clin Res Inst
5524,62,Univ Genoa
111565,65,Wayne State Univ
6176,76,Ist Nazl Fis Nucl
252105,0,Univ Hosp
4169,145,Univ Pavia
8769,147,Univ Kansas
34753,1,Eureka Sci & Goddard Space Flight Ctr
6171,89,Univ Seoul
63908,13,CNRS
259645,15,Univ Denis Diderot Paris 7
70514,8,Labs HIPRA
13753,56,Ist Nazl Fis Nucl
14025,1,Heriot Watt Univ
78959,7,NASA
66530,11,Univ Bologna
53126,32,Ist Nazl Fis Nucl
78945,0,CALTECH
5524,238,KFKI Res Inst Particle & Nucl Phys
5528,84,Iowa State Univ
178932,40,Univ Dortmund
30175,62,Univ Pittsburgh
6184,98,Univ Warsaw
82756,3,Hop La Miletrie
2081,103,Inst Theoret & Expt Phys
7480,4,Univ Paris 07
2068,70,Waseda Univ
6182,170,Texas Tech Univ
74920,3,Univ Angers
2068,20,Univ Florida
121966,5,Univ Bologna
6183,32,Tbilisi State Univ
215900,16,Univ Grenoble 1
19647,4,Univ Paris 07
29273,31,Seoul Natl Univ
159418,7,Hop Henri Mondor
30634,5,Univ Med Mannheim
60763,0,Univ Paris 13
159476,2,Charite
178934,28,Univ Ljubljana
110936,171,Northwestern Univ
6171,162,Purdue Univ Calumet
6169,79,Univ Piemonte Orientale Novara
5528,102,Univ Autonoma Madrid
2081,28,Ecole Polytech
5525,19,Univ Bern
6178,139,Fermilab Natl Accelerator Lab
125557,9,Comite Cancerol Assoc Francaise Urol
75011,15,Univ Helsinki
261887,0,CNRS
13756,25,Univ Illinois
6177,164,Rice Univ
8063,83,Univ Lisbon
282022,8,Rouen Univ Hosp
276367,11,CHU Montpellier
53126,66,So Univ
6171,167,Univ Tennessee
54278,2,Univ Bremen
178096,6,Hop Specialites
80412,1,Max Delbruck Ctr Mol Med
6180,53,Univ Bari
5526,44,Univ Tecn Federico Santa Maria
58026,12,Cumbres Observ Global Telescope
24240,1,Argonne Natl Lab
5533,22,Univ Bern
4169,239,Shandong Univ
171821,9,Ctr Geodesia Spaziale
307003,0,Univ Perpignan
263227,52,Univ Namibia
153840,0,Lebanese Amer Univ
191807,1,Serv Rhumatol
117846,0,Univ Paris 08
3002,63,Purdue Univ
5532,86,Korea Univ
25606,7,Clin Oncoematol Pediat
111564,24,Inst Phys
5532,32,Acad Sci
29273,22,Univ Florida
116938,20,Univ Geneva
6177,92,IPN
2094,58,Univ Siena
173596,29,Ohio State Univ
78378,3,Tech Univ Berlin
24209,53,Osaka City Univ
110936,131,Bogazici Univ
6175,56,Univ Bologna
116938,64,Waseda Univ
110936,181,Vanderbilt Univ
48998,7,Cardiff Univ
58023,34,Univ Liege
5533,149,INFN Sez Pisa
6180,129,Univ Calif Los Angeles
2069,14,Comenius Univ
66530,0,Univ Calif Irvine
110936,177,Rice Univ
187240,5,CALTECH
15204,26,Nord Opt Telescope
75366,3,Catholic Univ Cent African States
256142,46,Univ Glasgow
268592,41,UNAIDS
11412,3,Univ Paris
271527,5,Hop A Michallon
178932,105,Nikhef Natl Inst Subatom Phys
6181,123,Univ Bristol
5525,117,Queen Mary Univ London
5525,65,Pontificia Univ Catolica Chile
2068,10,Univ Calif Davis
66530,2,Univ Calif San Francisco
2094,32,Chonnam Natl Univ
20152,196,Univ Tsukuba
38841,102,Univ Warsaw
159450,2,Hop Mignot & CIC9504
178934,15,Univ Geneva
6180,174,Univ Fed ABC
13158,16,Univ Texas MD Anderson Canc Ctr
159699,0,Hop St Louis
3001,44,Michigan State Univ
178933,106,Univ Autonoma Sinaloa
110936,165,MIT
24225,58,Ist Nazl Fis Nucl
6173,158,Univ Notre Dame
21861,18,Duke Univ
6180,169,Texas Tech Univ
6185,150,Lawrence Livermore Natl Lab
211172,18,Ist Nazl Fis Nucl
200718,3,Univ Bordeaux 2
15767,2,Osped San Filippo Neri
5525,129,Univ Michigan
295650,0,CEA
6184,145,Univ Iowa
24208,170,Vanderbilt Univ
111598,6,Brandeis Univ
110936,140,Izmir Inst Technol
20419,15,Univ Hosp Clin San Carlos
5528,23,Univ Birmingham
130165,11,Tokyo Inst Technol
63908,34,Livingston Observ
6175,59,Ist Nazl Fis Nucl
5525,99,Hiroshima Univ
53127,82,IPJ
297437,11,Royal Hallamshire Hosp
38841,94,Louisiana Tech Univ
255879,8,Mercator Ocean
2094,51,Univ Oxford
6184,57,Univ Catania
6175,158,Univ Notre Dame
13753,14,Univ Chicago
6172,168,Univ Tennessee
5528,126,Univ Naples Federico 2
6167,21,Rudjer Boskovic Inst
6181,73,Scuola Normale Super Pisa
24208,92,Ctr Invest & Estudios Avanzados IPN
6178,84,Wonkwang Univ
78964,6,CALTECH
119069,22,Harvard Univ
5526,20,Univ Calif Berkeley
210290,4,Univ Groningen Hosp
5528,202,ICTP
8063,66,Moscow Engn & Phys Inst
78953,2,CALTECH
6173,59,Ist Nazl Fis Nucl
260182,5,CIRAD PRAM
53126,73,Embry Riddle Aeronaut Univ
119069,38,Univ Toronto
86334,5,Univ British Columbia
13756,7,Brandeis Univ
178932,19,Brookhaven Natl Lab
244093,5,CHU Montpellier
110936,19,Tech Univ Split
5533,141,Univ Oregon
24240,24,Helsinki Inst Phys
6168,130,Univ Calif Los Angeles
122743,0,CNRS
89447,8,Univ Nijmegen
13756,12,Univ Chicago
118393,33,Univ Liverpool
290868,0,Hop St Louis
31661,11,Univ Calif San Diego
268592,27,Mahidol Univ
178932,103,Univ New Mexico
118393,2,Argonne Natl Lab
24208,104,Inst Nucl Res
173596,0,Univ Oxford
2068,5,Univ Autonoma Barcelona
13713,38,UCL
6179,139,Univ Florida
24208,179,Univ Haute Alsace
211172,3,CERN
6179,52,Univ Bari
134213,0,French Food Safety Agcy
19641,13,Univ Toronto
211172,14,UCL
51686,3,Cornell Univ
6171,144,Univ Iowa
80073,0,Univ Montreal
2060,232,Univ Montreal
8063,37,Univ Genoa
24208,19,Univ Los Andes
258354,49,Univ Urbino Carlo Bo
76563,4,Univ Fribourg
6171,94,Univ Autonoma San Luis Potosi
63908,54,Univ Urbino Carlo Bo
231739,0,AP HM
13713,9,Brandeis Univ
39457,24,CNRS
3002,16,Univ Chicago
6173,56,Univ Bologna
2060,215,Yale Univ
146033,3,Fdn Hosp Alcorcon
4169,133,NYU
118393,40,Michigan State Univ
53291,0,Acad Sci Czech Republic
116936,46,Univ Paris 06
6183,147,Kansas State Univ
2976,75,Univ Wisconsin
6181,35,Rhein Westfal TH Aachen
62564,3,Univ Paris 11
5525,53,TRIUMF
266987,3,Univ Nice Sophia Antipolis
2068,27,Karlsruhe Inst Technol
130165,6,Liverpool John Moores Univ
189878,4,Univ London St Georges Hosp
48998,62,IPJ
8989,0,Tohoku Univ
159408,4,CHU Poitiers
2081,116,Univ Zurich
154773,5,Duke Clin Res Inst
6174,59,Ist Nazl Fis Nucl
6176,97,Quaid I Azam Univ
273796,4,Henri Mondor Univ Hosp
164832,0,Univ Freiburg
208391,4,G Rummo Hosp
48998,56,Univ Padua
110936,179,Rutgers State Univ
5528,94,Univ Liverpool
6178,100,Lab Instrumentacao & Fis Expt Particulas
6179,126,Boston Univ
87373,3,GM IFREMER
277991,1,CHU Jean Minjoz
216379,4,Henri Mondor Univ Hosp
178932,33,Univ Copenhagen
5526,82,Indiana Univ
78962,7,CALTECH
38593,5,Univ Melbourne
5533,161,Univ Roma Tor Vergata
15640,57,Univ Catania
230676,1,Kerckhoff Heart Ctr
178932,90,Univ Hassan 2
221719,0,Univ Toulouse 3
278403,2,Ctr Rech Pierre Fabre
6185,20,Univ Split
76451,3,Univ Bristol
255406,6,Keio Univ
8769,170,Texas Tech Univ
3002,21,Fermilab Natl Accelerator Lab
78955,5,Johns Hopkins Univ
15102,6,Univ Toulouse 3
3002,0,Univ Helsinki
173596,13,Univ Glasgow
280799,11,Andre Mignot Hosp
116938,25,Johns Hopkins Univ
82756,6,Hop Hotel Dieu
294024,4,Martini Clin
6182,147,Univ Kansas
6181,140,Univ Florida
6183,175,Univ Haute Alsace
187238,62,Observ Cote Azur
6169,111,Univ Cantabria
6172,20,Univ Split
33556,2,Penn State Univ
20147,25,Polish Acad Sci
203766,4,Ecole Normale Super Lyon
6167,183,ENEA
2081,33,Rhein Westfal TH Aachen
24209,44,Univ Toronto
5522,120,Bogazici Univ
4169,35,Brookhaven Natl Lab
6174,56,Univ Bologna
240038,2,Tohoku Univ
6179,27,Ecole Polytech
24208,145,UIC
84040,15,Imperial Coll London
2081,105,PN Lebedev Phys Inst
2094,24,Harvard Univ
51686,0,Univ Texas SW
79175,6,Univ Padua
131775,22,Hop Necker Enfants Malad
26871,28,Fdn Bruno Kessler
6169,74,Scuola Normale Super Pisa
3001,39,McGill Univ
166900,1,Univ Vita Salute San Raffaele
189878,0,CHU Dijon
4169,156,Czech Tech Univ
5533,121,Moscow Engn & Phys Inst MEPhI
6185,104,Inst Theoret & Expt Phys
5526,89,Kyoto Univ
15640,162,Univ Puerto Rico
5533,198,Waseda Univ
6172,104,Inst Theoret & Expt Phys
6179,119,Middle E Tech Univ
6182,44,Debrecen Univ Med
4169,71,Univ Giessen
67962,3,Univ Montreal
6167,171,Vanderbilt Univ
213779,20,Stanford Univ
6175,157,Northeastern Univ
4169,134,Ohio State Univ
5528,21,Humboldt Univ
315158,0,Hop Necker Enfants Malad
208388,2,Dept Urol
170485,1,Univ Strasbourg 1
248915,1,INRA
5522,51,Ist Nazl Fis Nucl
6169,144,Univ Iowa
6179,48,Tata Inst Fundamental Res
282022,0,Univ Montreal
35106,16,Comenius Univ
6175,73,Ist Nazl Fis Nucl
6173,17,Peking Univ
6177,128,Brown Univ
78946,1,CALTECH
167389,2,Univ Orsay
181981,0,Hop Raymond Poincare
29273,5,Univ Autonoma Barcelona
235685,5,AP HM
6176,26,CNRS
78957,9,Lab Astrophys Marseille
73584,2,Univ Montpellier
88215,9,CALTECH
199005,0,Univ Paris 11
6185,67,Univ Padua
39457,97,PN Lebedev Phys Inst
3001,52,Ist Nazl Fis Nucl
6181,55,Ist Nazl Fis Nucl
38841,68,Embry Riddle Aeronaut Univ
13713,55,Univ Padua
6174,69,Ist Nazl Fis Nucl
282021,2,Lille Univ Hosp
257302,1,SUPMECA
20152,151,CAFPE
271527,13,Ctr Pierre & Marie Curie
307275,5,Univ Washington
39459,18,Univ Split
7486,24,Los Alamos Natl Lab
64902,6,Keio Univ
24225,57,Univ Penn
2081,173,Univ Virginia
38699,0,Mie Univ
6174,158,Univ Notre Dame
13158,23,Royal Liverpool Univ Hosp
6182,9,Catholic Univ Louvain
21861,15,Comenius Univ
6179,45,Univ Delhi
259645,11,CE Saclay
280704,5,Inst Nucl Res
5533,155,State Res Ctr Inst High Energy Phys
203846,2,CNRS
113291,27,Univ Edinburgh
15205,8,Space Telescope Sci Inst
76228,6,Univ Toronto
8769,30,Inst Natl Phys Nucl & Phys Particules
213710,6,CNRS
213779,8,Hop St Louis
5522,123,Rutherford Appleton Lab
6185,49,Tata Inst Fundamental Res HECR
111564,19,Univ Florida
6168,180,Univ Roma La Sapienza
6183,39,Inst Nucl Phys Demokritos
5532,121,Natl Sci Ctr
5533,66,INFN Sezi Genova
6185,156,SUNY Buffalo
71520,6,Hop Jacques Monod
270781,5,Henri Mondor Univ Hosp
6171,107,Inst High Energy Phys
6175,72,Univ Perugia
243306,3,Univ Caen
111598,61,Univ Tsukuba
276367,6,Johns Hopkins Univ
63908,90,Loyola Univ
235685,6,Natl Inst Biol
5532,115,Univ Zurich
6172,150,Univ Maryland
6180,27,CEA Saclay
6183,113,CERN
2691,0,Univ Lyon
78950,3,Lan Astrophys Marseille
263375,6,NASA
258354,41,Cardiff Univ
263227,24,Univ Chicago
6175,60,Univ Florence
78957,12,Observ Carnegie Inst Washington
2069,61,Univ Rochester
6175,99,Soltan Inst Nucl Studies
238841,70,Univ Michigan
155280,0,Univ Montreal
15640,154,Univ Mississippi
13158,17,Turku Univ
20152,141,Univ Oxford
203991,1,Inst Max Von Laue Paul Langevin
2081,67,Univ Padua
6175,65,Univ Naples Federico 2
6185,6,Vrije Univ Brussel
213779,9,CHU Caen
115210,2,McMaster Univ
24225,46,Michigan State Univ
110936,125,Univ Zurich
13750,37,Leibniz Univ Hannover
297437,0,Hop St Louis
6183,7,Univ Libre Bruxelles
110936,5,Vrije Univ Brussel
2060,87,Kobe Univ
159516,4,CIC9504
15640,163,Purdue Univ
244418,0,Dept Ecol & Gest Biodiversite
6183,15,Univ Sofia
5527,172,Univ Siegen
212290,1,Inst Super Mat & Mecan Avances
31661,22,Univ Geneva
6185,173,Univ Virginia
25467,33,Ist Nazl Fis Nucl
5532,26,IN2P3 CNRS
6179,104,Moscow MV Lomonosov State Univ
6168,24,Helsinki Inst Phys
20419,6,Harvard Univ
213710,0,Univ Aix Marseille 2
39457,132,Florida State Univ
5527,214,INFN CNAF
291262,3,Univ Michigan
13753,1,Helsinki Inst Phys
6172,81,Ist Nazl Fis Nucl
173538,6,John Innes Ctr Plant Sci Res
248129,3,Aix Marseille Univ
38841,10,INFN
25467,31,Univ Cambridge
76563,7,Univ Nat Resources & Appl Life Sci
243755,1,Hop Univ Strasbourg
187238,50,Univ Illes Balears
39457,17,Acad Sci Res & Technol
168286,4,Sheffield Hallam Univ
6172,6,Vrije Univ Brussel
24208,180,Moscow MV Lomonosov State Univ
6168,143,Florida Inst Technol
5524,57,Fachhsch Wiener Neustadt
2081,156,SUNY Buffalo
5532,127,Brown Univ
39457,28,Acad Sci
123784,2,Univ Bologna
6171,118,Natl Taiwan Univ
5526,42,Univ Chicago
5532,51,INFN Sez Bari
20152,63,Univ Geneva
99538,1,Nestle Prod Technol Ctr
6167,66,Univ Naples Federico 2
307275,0,Univ Otago
6177,110,Univ Autonoma Madrid
6178,137,Cornell Univ
5527,84,Univ Iowa
293384,7,Univ Vita Salute San Raffaele
15204,12,Canadian Space Agcy
8769,89,IPN
259084,12,Geol Survey Norway
154773,3,Estudios Cardiol Latinoamer
119069,46,Osaka City Univ
5527,221,AGH Univ Sci & Technol
6178,105,Moscow MV Lomonosov State Univ
191792,0,Malad Sang
53126,92,Sonoma State Univ
5524,14,Univ Belgrade
35106,64,Purdue Univ
178936,58,Univ Basilicata
6167,25,Lappeenranta Univ Technol
189878,11,Hannover Med Sch
238841,16,Univ Clermont Ferrand
6185,164,Purdue Univ Calumet
126997,1,Univ Cambridge
86931,8,Ist Nazl Fis Nucl
2069,66,Texas A&M Univ
52485,3,Unite Mixte Phys CNRS Thales
7489,22,Camosun Coll
6168,190,Suleyman Demirel Univ
6183,186,Univ Athens
167389,15,A Soltan Inst Nucl Studies
6183,19,Tech Univ Split
178933,46,Univ Athens
6184,46,Univ Delhi
167389,12,Sez CT
35106,32,Seoul Natl Univ
5524,29,Brookhaven Natl Lab
6178,54,Politecn Bari
37516,2,Inst Radio Astron Millimetr
119069,53,Univ Pittsburgh
178932,24,Univ Chicago
293384,2,Univ Montreal
13756,45,Inst Theoret & Expt Phys
39459,13,Univ Sofia
6178,125,Univ London Imperial Coll Sci Technol & Med
3001,50,Osaka City Univ
5528,25,Dogus Univ
258256,1,Univ Illinois
7488,6,Space Telescope Sci Inst
19646,22,Univ Cambridge
15640,80,Univ Piemonte Orientale Novara
6183,80,Ist Nazl Fis Nucl
6179,95,Univ Canterbury
111565,45,Okayama Univ
6172,166,Rockefeller Univ
219791,0,Lab Astrophys Observ Grenoble
272648,4,Inst Med & Vet Sci
53882,1,Univ Paris 06
70514,7,R&D
6180,21,Inst Rudjer Boskov
166900,0,Univ Montreal
24225,25,Univ Glasgow
207137,0,Univ Sci & Tech Lille Flandres Artois
8769,156,Northeastern Univ
116936,29,Sungkyunkwan Univ
4169,59,DESY
53127,72,Embry Riddle Aeronaut Univ
118393,49,Univ Paris 06
5528,60,Tech Univ Dresden
240387,16,Univ Heidelberg Hosp
2068,74,Ist Nazl Fis Nucl Trieste Udine
238841,14,Acad Sci Czech Republic
6178,11,Ctr Brasileiro Pesquisas Fis
75011,10,Osped San Martino Genova
2081,186,Univ Basilicata
104757,1,Univ Strasbourg 1
6177,122,Kharkov Inst Phys & Technol
248328,1,CHRU Lille
6182,127,Boston Univ
259645,5,UPS
240430,4,Hop Cochin
6169,162,Purdue Univ Calumet
157463,0,Hop Enfants La Timone
1697,0,Univ Paris 11
2081,152,MIT
217872,13,Hokkaido Univ
159390,0,UAM Allo CSH
6172,33,Rhein Westfal TH Aachen
96781,1,Univ Zaragoza
178933,37,Slovak Acad Sci
6180,26,CNRS
